번호,지역,시군구,지원센터단위,지원센터구분,지원센터명,센터전화번호,주소,상세주소,기타유의사항
17,전남,전라남도 무안군,광역,푸드뱅크,전남광역푸드뱅크,061-283-8478,전라남도 무안군 삼향읍 오룡3길 22,1층 전남사회복지협의회,
18,전북,전라북도 전주시 덕진구,광역,푸드뱅크,전북광역푸드뱅크,063-224-1861,전북특별자치도 전주시 덕진구 전주천동로 483,3층 전북특별자치도사회복지협의회,
19,제주,제주특별자치도 제주시,광역,푸드뱅크,제주특별자치도푸드뱅크,064-759-1377,제주특별자치도 제주시 청풍남8길 12-1, (화북일동) 제주특별자치도사회복지협의회,
20,충남,충청남도 홍성군,광역,푸드뱅크,충남광역푸드뱅크,041-634-0875,충청남도 홍성군 홍북읍 상하천로 50,충남보훈회관 1층,
21,충북,충청북도 청주시 흥덕구,광역,푸드뱅크,충북광역푸드뱅크,043-234-0840,충청북도 청주시 흥덕구 공단로 87,충북종합사회복지센터 302호,
22,전남,전라남도 신안군,기초,푸드뱅크,1004섬신안기초푸드뱅크,061-278-1129,전라남도 신안군 압해읍 구항길 92-23,,
23,경기,경기도 가평군,기초,푸드뱅크,가평군푸드뱅크,031-581-2727,경기도 가평군 가평읍 달전로 44,1층(달전리),
24,서울,서울특별시 강남구,기초,푸드마켓,강남푸드지원센터,02-562-5377,서울특별시 강남구 자곡로11길 28,209동 1층 (자곡동),
25,서울,서울특별시 강동구,기초,푸드마켓,강동구 푸드뱅크마켓센터,02-427-1377,서울특별시 강동구 동남로 926, (고덕동),
26,강원,강원도 강릉시,기초,푸드뱅크,강릉자유푸드뱅크,033-644-8831,강원도 강릉시 구정면 구정중앙로 158-10,2층,
27,강원,강원도 강릉시,기초,푸드뱅크,강릉푸드뱅크,033-643-1377,강원도 강릉시 종합운동장길 69,B110호 (교동),
28,서울,서울특별시 강북구,기초,푸드마켓,강북잇다푸드뱅크마켓센터,02-991-1377,서울특별시 강북구 한천로148길 12-13,103동 204호 (수유동  칸타빌 수유팰리스),
29,부산,부산광역시 강서구,기초,푸드마켓,강서구둥지푸드마켓,051-711-1378,부산광역시 강서구 공항로 1207, (대저1동),
30,부산,부산광역시 강서구,기초,푸드뱅크,강서구푸드뱅크,051-271-0561,부산 강서구 명지동, 627-28,
31,서울,서울특별시 강서구,기초,푸드마켓,강서푸드뱅크·마켓,02-2635-1377,서울특별시 강서구 공항대로2가길 5, (공항동) 통합복지센터 내 1층,
32,전남,전라남도 강진군,기초,푸드뱅크,강진군기초푸드뱅크,061-434-7002,전라남도 강진군 군동면 백금포길 7,강진군지역자활센터,
33,인천,인천광역시 강화군,기초,푸드뱅크,강화군푸드뱅크,032-932-1378,인천광역시 강화군 강화읍 향나무길22번길 12,,
34,인천,인천광역시 강화군,기초,푸드마켓,강화푸드마켓,032-934-0808,인천광역시 강화군 강화읍 향나무길22번길 12,,
35,경남,경상남도 거제시,기초,푸드뱅크,거제시푸드뱅크,055-632-0400,경상남도 거제시 고현로2길 42 ,(고현동),
36,경남,경상남도 거창군,기초,푸드뱅크,거창푸드뱅크,055-942-7934,경남 거창군 마리면 하고리,68번지,
37,경북,경상북도 포항시 남구,기초,푸드뱅크,경동푸드뱅크,054-293-1378,경상북도 포항시 남구 오천읍 해병로347번길 34,1층 경동푸드뱅크,
38,경북,경상북도 경산시,기초,푸드뱅크,경산시푸드뱅크,053-802-1377,경상북도 경산시 경청로222길 79 ,경산시노인종합복지관 (백천동),
39,경북,경상북도 경산시,기초,푸드마켓,경산푸드마켓,053-802-1377,경상북도 경산시 경청로219길 3-2,(백천동) 경산푸드마켓,
40,경북,경상북도 경주시,기초,푸드뱅크,경주시푸드뱅크,054-771-8107,경북 경주시 용강동,1283번지 (경주시종합사회복지관내),
41,충남,충청남도 계룡시,기초,푸드뱅크,계룡시사랑나눔푸드뱅크,042-551-9191,충청남도 계룡시 계룡대로 320 ,(금암동),
42,인천,인천광역시 계양구,기초,푸드마켓,계양구푸드마켓,032-551-1377,인천광역시 계양구 계양대로 126, (작전동) 계양구의회건물1층,
43,인천,인천광역시 계양구,기초,푸드뱅크,계양구푸드뱅크,032-555-1377,인천광역시 계양구 계양대로 126, (작전동) 계양구의회 건물 1층 ,
44,경남,경상남도 고성군,기초,푸드뱅크,고성군푸드뱅크,055-674-6628,경상남도 고성군 고성읍 죽계1길 95-1,,
45,강원,강원도 고성군,기초,푸드뱅크,고성푸드뱅크사랑나눔센터,033-681-1376,강원도 고성군 거진읍 태봉2길 24,,
46,경기,경기도 고양시 일산서구,기초,푸드뱅크,고양시문촌7푸드뱅크,031-916-4071,경기 고양시 일산서구 킨텍스로 340,(주엽동  고양시문촌7종합사회복지관),
47,전북,전라북도 고창군,기초,푸드뱅크,고창군기초푸드뱅크,063-561-2350,전라북도 고창군 모양성로 116-13 고창행복원,(석교리),
48,전남,전라남도 고흥군,기초,푸드뱅크,고흥군푸드뱅크,061-832-2500,전라남도 고흥군 고흥읍 신계학림길 39,1층,
49,전남,전라남도 곡성군,기초,푸드뱅크,곡성지역자활센터 푸드뱅크,061-363-4370,전라남도 곡성군 곡성읍 읍내13길 5-1,곡성지역자활센터 푸드뱅크,
50,충남,충청남도 공주시,기초,푸드뱅크,공주기초푸드뱅크,041-857-6004,충청남도 공주시 신기동길 48-8, (신기동),
51,충북,충청북도 음성군,기초,푸드뱅크,관성푸드뱅크,043-877-9457,충청북도 음성군 삼성면 대성로 555,202호,
52,서울,서울특별시 관악구,기초,푸드마켓,관악푸드뱅크마켓,02-872-1377,서울특별시 관악구 신림로58길 13, (신림동) 다이아몬드빌딩 501호,
53,경기,경기도 광명시,기초,푸드마켓,광명시푸드뱅크마켓센터,02-2688-1377,경기도 광명시 광삼로 9, 1층 (광명동),
54,전남,전라남도 광양시,기초,푸드뱅크,광양시푸드뱅크,061-762-9894,전라남도 광양시 광양읍 인덕로 977,2층 1호,
55,경기,경기도 광주시,기초,푸드뱅크,광주시중앙푸드뱅크&푸드마켓,031-766-1377,경기도 광주시 고불로 40-11, (중대동),
56,경기,경기도 광주시,기초,푸드뱅크,광주시참사랑푸드뱅크,031-8028-8906,경기도 광주시 광주대로 11-3,한솔빌딩 1층 (역동),
57,서울,서울특별시 광진구,기초,푸드마켓,광진푸드뱅크마켓센터,02-499-1377,서울 광진구 화양동,132-68,
58,충북,충청북도 괴산군,기초,푸드마켓,괴산군푸드마켓,043-834-1377,충청북도 괴산군 괴산읍 임꺽정로 104,1층,
59,충북,충청북도 괴산군,기초,푸드뱅크,괴산군푸드뱅크,043-834-1377,충청북도 괴산군 괴산읍 임꺽정로 104,1층,
60,충북,충청북도 괴산군,기초,푸드뱅크,괴산나눔과기쁨푸드뱅크,043-832-3197,충북 괴산군 괴산읍 정용리,83-13,
61,전남,전라남도 구례군,기초,푸드뱅크,구례군 다빈푸드뱅크,061-781-7970,전라남도 구례군 구례읍 구례로 508,구례종합사회복지관 1층,
62,서울,서울특별시 구로구,기초,푸드마켓,구로구 푸드뱅크마켓센터,02-869-1378,서울특별시 구로구 구로동로50길 10, (구로동),
63,경기,경기도 구리시,기초,푸드뱅크,구리사랑나눔푸드뱅크,031-555-1243,경기도 구리시 검배로 154,우남상가 102호 (토평동  우남아파트),
64,경기,경기도 구리시,기초,푸드뱅크,구리시푸드뱅크,031-556-8100,경기도 구리시 벌말로129번길 50, (토평동),
65,경북,경상북도 구미시,기초,푸드뱅크,구미사랑나눔푸드뱅크,054-441-1377,경상북도 구미시 봉곡동로2길 4, (봉곡동),
66,경북,경상북도 구미시,기초,푸드뱅크,구미시푸드뱅크,054-458-0230,경상북도 구미시 문장로 110(도량동),금오종합사회복지관,
67,경북,경상북도 구미시,기초,푸드마켓,구미푸드마켓,054-443-1377,경상북도 구미시 문장로 110, (도량동),
68,전북,전라북도 군산시,기초,푸드뱅크,군산시기초푸드뱅크,063-461-6555,전라북도 군산시 칠성로 59,,
69,경기,경기도 군포시,기초,푸드뱅크,군포기초푸드뱅크,031-397-2054,경기도 군포시 오금로 102,1층(금정동),
70,경북,경상북도 김천시,기초,푸드뱅크,글로벌희망나누리푸드뱅크,054-432-6009,경상북도 김천시 해오름1로 17,404동 1602호(율곡동  경북김천혁신엘에이치천년나무4단지),
71,충남,충청남도 금산군,기초,푸드뱅크,금산군푸드뱅크,041-752-7942,충청남도 금산군 일흔이재로 112( 내부리),112,
72,부산,부산광역시 금정구,기초,푸드뱅크,금정구푸드뱅크,051-508-1997,부산광역시 금정구 중앙대로2349번길 3 ,(노포동) ,
73,서울,서울특별시 금천구,기초,푸드마켓,금천구푸드뱅크마켓센터,02-3286-1377,서울특별시 금천구 탑골로 35,신축건물 1층  (시흥동),
74,서울,서울특별시 금천구,기초,푸드뱅크,금천행복푸드뱅크,02-808-1671,서울특별시 금천구 시흥대로 97, (시흥동)BB10호,
75,부산,부산광역시 기장군,기초,푸드뱅크,기장군푸드뱅크,051-724-3457,부산광역시 기장군 기장읍 차성로288번길 27,2층 기장지역자활센터,
76,부산,부산광역시 기장군,기초,푸드마켓,기장푸드마켓,051-722-4006,부산광역시 기장군 기장읍 차성남로 28,1층 기장푸드마켓,
77,전북,전라북도 김제시,기초,푸드뱅크,김제시기초푸드뱅크,063-543-1377,전라북도 김제시 금성로 93, (신풍동),
78,전북,전라북도 김제시,기초,푸드마켓,김제지평선푸드마켓,063-543-1377,전라북도 김제시 금성로 93, (신풍동),
79,경북,경상북도 김천시,기초,푸드뱅크,김천시푸드뱅크,054-439-2191,경상북도 김천시 모암길 3, (용두동),
80,경기,경기도 김포시,기초,푸드뱅크,김포시푸드뱅크,031-996-1377,경기도 김포시 양촌읍 김포한강4로278번길 103-59,,
81,경기,경기도 김포시,기초,푸드뱅크,김포한강푸드뱅크,031-997-1370,경기도 김포시 김포한강4로420번길 30, (구래동) 비즈나인지식산업센터 제12층 1220호,
82,경남,경상남도 김해시,기초,푸드뱅크,김해시나누미푸드뱅크,055-311-9745,경상남도 김해시 평전로 3, (외동  주공아파트) 103동 106호,
83,경남,경상남도 김해시,기초,푸드마켓,김해시푸드마켓,055-328-1377,경상남도 김해시 김해대로 2232,김해시외버스터미널 4층,
84,경남,경상남도 김해시,기초,푸드뱅크,김해시푸드뱅크,,경남 김해시 부원동,27번지,연락처 없음
85,경기,경기도 의정부시,기초,푸드뱅크,나누리푸드뱅크,031-826-0778,경기도 의정부시 흥선로24번길 10, (가능동),
86,대전,대전광역시 동구,기초,푸드뱅크,나누미푸드뱅크,042-623-5060,대전광역시 동구 태전로174번안길 20, (삼성동)1층,
87,경남,경상남도 창원시 성산구,기초,푸드뱅크,나눔과기쁨 창원푸드뱅크,,경상남도 창원시 성산구 반송로 166, (반림동),연락처 없음
88,울산,울산광역시 북구,기초,푸드뱅크,나눔과기쁨울산푸드뱅크,052-289-9543,울산광역시 북구 송내11길 12, (화봉동),
89,전남,전라남도 나주시,기초,푸드뱅크,나주시기초푸드뱅크,061-334-7727,전라남도 나주시 가마태길 38, (용산동  용산주공아파트),
90,광주,광주광역시 남구,기초,푸드뱅크,남구기초푸드뱅크,062-673-1377,광주광역시 남구 용대로 91, (봉선동),
91,울산,울산광역시 남구,기초,푸드뱅크,남구나눔푸드뱅크,052-257-1377,울산광역시 남구 봉월로50번길 45(신정동),울산광역시나눔푸드마켓,
92,대구,대구광역시 남구,기초,푸드뱅크,남구대명기초푸드뱅크,053-657-1170,대구광역시 남구 양지로 8, (대명동),
93,부산,부산광역시 남구,기초,푸드마켓,남구동행푸드마켓,051-638-1377,부산광역시 남구 못골로53번길 12-20, (대연동),
94,울산,울산광역시 남구,기초,푸드뱅크,남구푸드뱅크,052-274-1337,울산광역시 남구 산업로325번길 34,(선암동),
95,부산,부산광역시 남구,기초,푸드뱅크,남구푸드뱅크,051-647-3655,부산광역시 남구 동제당로 258, (우암동),
96,인천,인천광역시 남동구,기초,푸드뱅크,남동구새희망푸드뱅크,032-437-1377,인천광역시 남동구 경인로 744,105호 (간석동),
97,인천,인천광역시 남동구,기초,푸드마켓,남동구푸드마켓1호점,032-463-1377,인천광역시 남동구 인주대로 854, (만수동) 1층 푸드마켓,
98,인천,인천광역시 남동구,기초,푸드마켓,남동구푸드마켓2호점,032-431-1377,인천광역시 남동구 구월로137번길 59,(간석동) 가나빌딩 1층,
99,인천,인천광역시 남동구,기초,푸드뱅크,남동구푸드뱅크,032-469-1377,인천광역시 남동구 인주대로 854, (만수동  식품영양복지지원센터 4층),
100,경기,경기도 남양주시,기초,푸드뱅크,남양주푸드뱅크,031-564-1377,경기도 남양주시 의안로 182, (평내동)  상가2층,
101,전북,전라북도 남원시,기초,푸드뱅크,남원시기초푸드뱅크,063-632-5252,전라북도 남원시 노송로 1255-9,(노암동  주공아파트) 남원사회복지관 본관,
102,전북,전라북도 남원시,기초,푸드뱅크,남원시사회복지협의회기초푸드뱅크,063-631-0133,전라북도 남원시 요천로 1531,(죽항동) 초록빌 1층,
103,경남,경상남도 남해군,기초,푸드뱅크,남해군푸드뱅크,055-860-3886,경남 남해군 남해읍 아산리,355 종합사회복지관 내 1층 자원봉사센터,
104,경북,경상북도 포항시 북구,기초,푸드뱅크,내일을여는집포항기초푸드뱅크,054-244-1377,경상북도 포항시 북구 삼흥로35번길 1-4 ,(장성동),
105,서울,서울특별시 노원구,기초,푸드마켓,노원구 푸드뱅크마켓센터,02-975-1277,서울특별시 노원구 동일로 1229 노원구민회관(중계동), B1층,
106,충남,충청남도 논산시,기초,푸드마켓,논산사랑푸드마켓,070-4177-1377,충청남도 논산시 관촉로277번길 23-13,(취암동) 행복드림센터  1층,
107,충남,충청남도 논산시,기초,푸드뱅크,논산사랑푸드뱅크,041-736-1004,충청남도 논산시 생뫼길 14(강산동),.,
108,경기,경기도 광주시,기초,푸드뱅크,늘만나푸드뱅크,031-764-0091,경기도 광주시 곤지암읍 곤지암로11번길 8,205호(곤지암리),
109,충북,충청북도 단양군,기초,푸드뱅크,단양군기초푸드뱅크,043-422-1299,충청북도 단양군 단양읍 수변로 83,3층,
110,충북,충청북도 단양군,기초,푸드마켓,단양군푸드마켓,043-422-1700,충청북도 단양군 단양읍 중앙1로 29,,
111,충북,충청북도 단양군,기초,푸드뱅크,단양나눔과기쁨푸드뱅크,043-421-3191,충북 단양군 대강면 장림리,149-2,
112,대구,대구광역시 달서구,기초,푸드뱅크,달서구본동푸드뱅크,053-639-1377,대구광역시 달서구 송현로 113 ,(송현동  본동주공1차아파트) ,
113,대구,대구광역시 달서구,기초,푸드뱅크,달서구성서푸드뱅크,053-582-1376,대구광역시 달서구 신당로 56, (신당동  성서주공1단지아파트),
114,대구,대구광역시 달서구,기초,푸드마켓,달서구푸드마켓,053-636-1377,대구 달서구 송현2동 ,977-2번지,
115,대구,대구광역시 달성군,기초,푸드뱅크,달성군푸드뱅크,053-615-9191,대구 달성군 논공읍 북리,1-104,
116,대구,대구광역시 달성군,기초,푸드마켓,달성푸드마켓다사점,053-588-1375,대구 달성군 다사읍 매곡리,1531-8,
117,전남,전라남도 담양군,기초,푸드뱅크,담양군기초푸드뱅크,061-381-1376,전라남도 담양군 담양읍 죽향문화로 431-33,,
118,충남,충청남도 당진시,기초,푸드뱅크,당진시나눔푸드뱅크,041-355-5700,충청남도 당진시 정안로 16,(원당동),
119,대구,대구광역시 남구,기초,푸드마켓,대구남구늘해랑푸드마켓,053-473-1377,대구 남구 봉덕1동,739-1,
120,대전,대전광역시 대덕구,기초,푸드뱅크,대덕나누리푸드뱅크,042-369-0191,대전광역시 대덕구 대전로1032번길 51, (오정동) 103호,
121,대전,대전광역시 유성구,기초,푸드뱅크,대전가톨릭농수산물지원센터(푸드뱅크),042-822-7986,대전광역시 유성구 노은동로 33, (노은동) 노은농수산물도매시장 3문 경사로 옆,
122,대전,대전광역시 중구,기초,푸드뱅크,대전사랑의먹거리나눔운동본부(푸드뱅크),042-242-2700,대전광역시 중구 문창로 39, (부사동),
123,대전,대전광역시 서구,기초,푸드마켓,대전행복나눔무지개푸드마켓1호점,042-488-1370,대전광역시 서구 계룡로219번길 17,1층 대전행복나눔무지개푸드마켓1호점 ,
124,대전,대전광역시 동구,기초,푸드마켓,대전행복나눔무지개푸드마켓2호점,042-633-1377,대전광역시 동구 동대전로 102-1, (대동),
125,대전,대전광역시 대덕구,기초,푸드마켓,대전행복나눔무지개푸드마켓3호점,042-637-1377,대전광역시 대덕구 계족로608번길 15 ,(법동),
126,대전,대전광역시 유성구,기초,푸드마켓,대전행복나눔무지개푸드마켓4호점,042-935-1377,대전광역시 유성구 봉산로36번길 1, (봉산동),
127,대전,대전광역시 중구,기초,푸드마켓,대전행복나눔무지개푸드마켓5호점,042-256-1377,대전광역시 중구 보문로 142, (대사동),
128,대전,대전광역시 유성구,기초,푸드마켓,대전행복나눔무지개푸드마켓6호점,042-826-6377,대전광역시 유성구 유성대로730번길 51,(장대동),
129,대전,대전광역시 동구,기초,푸드마켓,대전행복나눔무지개푸드마켓7호점,042-286-1377,대전광역시 동구 동구청로203번길 1, (판암동),
130,대전,대전광역시 중구,기초,푸드마켓,대전행복나눔푸드마켓(유천점),042-522-7100,대전광역시 중구 유천로 93,1층 (유천동),
131,대전,대전광역시 서구,기초,푸드마켓,대전행복나눔푸드마켓8호점,042-528-1377,대전광역시 서구 배재로 99-1, (도마동),
132,충북,충청북도 청주시 상당구,기초,푸드뱅크,대청기초푸드뱅크,043-221-7838,충청북도 청주시 상당구 문의면 두모1길 13-8,,
133,경기,경기도 고양시 덕양구,기초,푸드뱅크,덕양행신기초푸드뱅크,031-839-6000,경기도 고양시 덕양구 서정마을2로 13, (행신동),
134,서울,서울특별시 도봉구,기초,푸드마켓,도봉구푸드뱅크마켓센터,02-907-1377,서울특별시 도봉구 도봉로170길 2,도봉역 다가치센터 16구역 (도봉동),
135,광주,광주광역시 동구,기초,푸드뱅크,동구기초푸드뱅크,062-234-1377,광주광역시 동구 천변좌로 656, (용산동) 빛고을종합사회복지관,
136,대구,대구광역시 동구,기초,푸드뱅크,동구동촌푸드뱅크,053-986-1377,대구광역시 동구 입석로 5, (입석동) 동촌종합사회복지관 동촌푸드뱅크,
137,광주,광주광역시 동구,기초,푸드마켓,동구푸드마켓,062-222-1377,광주광역시 동구 경양로223번길 14-31,(계림동),
138,부산,부산광역시 동구,기초,푸드마켓,동구푸드마켓,051-905-1378,부산광역시 동구 진성로 68, (수정동),
139,인천,인천광역시 동구,기초,푸드마켓,동구푸드마켓1호점,032-773-2377,인천 동구 송림동 ,59-12번지,
140,울산,울산광역시 동구,기초,푸드뱅크,동구푸드뱅크,052-236-1365,울산광역시 동구 문현5길 27, (방어동),
141,인천,인천광역시 동구,기초,푸드뱅크,동구푸드뱅크,032-763-1377,인천광역시 동구 만석로36번길 1,(만석동) 1층 102호,
142,부산,부산광역시 동구,기초,푸드뱅크,동구푸드뱅크,051-633-3367,부산 동구 범일6동,1542-1,
143,전북,전라북도 군산시,기초,푸드뱅크,동군산푸드뱅크,063-451-5403,전라북도 군산시 서수면 하금길 37-1,,
144,서울,서울특별시 동대문구,기초,푸드마켓,동대문 푸드뱅크마켓,02-2246-0036,서울특별시 동대문구 천호대로2길 23-9(신설동), ,
145,경기,경기도 동두천시,기초,푸드뱅크,동두천천사푸드뱅크,031-865-4577,경기도 동두천시 광암로6번길 2, (광암동),
146,부산,부산광역시 동래구,기초,푸드뱅크,동래구푸드뱅크,051-531-2460,부산 동래구 명장2동,508-72,
147,부산,부산광역시 동래구,기초,푸드마켓,동래등대지기푸드마켓,051-506-1377,부산광역시 동래구 석사북로 59-1(온천동),1층,
148,서울,서울특별시 동작구,기초,푸드마켓,동작구푸드뱅크·마켓센터,02-817-1377,서울 동작구 사당동 ,169-8(대림프라자 상가  206호,
149,제주,제주특별자치도 제주시,기초,푸드뱅크,동제주기초푸드뱅크,064-751-1377,제주특별자치도 제주시 구좌읍 평대12길 15,동제주기초푸드뱅크,
150,강원,강원도 동해시,기초,푸드뱅크,동해시기초푸드뱅크,033-531-1377,강원도 동해시 선돌길 19, (단봉동),
151,대구,대구광역시 달서구,기초,푸드마켓,두류푸드마켓,053-652-5300,대구광역시 달서구 두류공원로50길 23, (두류동  선빌파크타운)1층,
152,광주,광주광역시 북구,기초,푸드뱅크,두암기초푸드뱅크,062-266-8185,광주광역시 북구 삼정로 7,두암종합사회복지관 2층,
153,대전,대전광역시 유성구,기초,푸드뱅크,마라나타푸드뱅크,042-935-6889,대전광역시 유성구 관들3길 77-30 ,(관평동),
154,경남,경상남도 창원시 마산회원구,기초,푸드뱅크,마산푸드뱅크,055-231-8018,경상남도 창원시 마산회원구 내서읍 상곡로 49,내서종합사회복지관,
155,서울,서울특별시 마포구,기초,푸드마켓,마포행복나눔푸드(뱅크)마켓1호점,02-364-1377,서울 마포구 성산동,533-1 마포농수산물시장내 1층,
156,서울,서울특별시 마포구,기초,푸드마켓,마포행복나눔푸드마켓2호점,02-703-1377,서울특별시 마포구 신촌로26길 10,B1호 (노고산동  우리마포복지관(대흥동주민센터)),
157,광주,광주광역시 광산구,기초,푸드뱅크,만나푸드뱅크,062-941-1377,광주광역시 광산구 풍영로101번안길 15-9, (흑석동)102호,
158,전남,전라남도 목포시,기초,푸드뱅크,목포예사랑나눔푸드뱅크,061-279-0954,전라남도 목포시 양을로 261-2 용당교회탁노소(용해동),목포예사랑나눔푸드뱅크,
159,전남,전라남도 무안군,기초,푸드뱅크,무안군기초푸드뱅크,061-283-1888,전라남도 무안군 일로읍 삼일로 493,삼일로 493,
160,전북,전라북도 무주군,기초,푸드마켓,무주행복나눔푸드마켓·뱅크,063-322-1370,전라북도 무주군 무주읍 한풍루로 294,,
161,경북,경상북도 문경시,기초,푸드뱅크,문경시푸드뱅크,054-555-2800,경북 문경시 모전동,859-3                           (※ 2012.7.1 운영주체 변경 ,
162,강원,강원도 원주시,기초,푸드뱅크,문막푸드뱅크,033-734-0691,강원도 원주시 문막읍 동화택지길 9,,
163,전남,전라남도 여수시,기초,푸드뱅크,문수기초푸드뱅크,061-652-2010,전라남도 여수시 여문2로 11-10 ,(문수동),
164,경기,경기도 용인시 처인구,기초,푸드뱅크,문화협회푸드뱅크,031-322-1377,경기도 용인시 처인구 경안천로 76,용인시실내체육관 1층(마평동),
165,인천,인천광역시 미추홀구,기초,푸드뱅크,미추홀구기초푸드뱅크,032-861-1377,인천광역시 미추홀구 장고개로42번길 30,1층  (도화동),
166,인천,인천광역시 미추홀구,기초,푸드마켓,미추홀구푸드마켓1호점,032-875-1377,인천광역시 미추홀구 장고개로42번길 30,1층 (도화동),
167,인천,인천광역시 미추홀구,기초,푸드마켓,미추홀구푸드마켓2호점,032-889-1377,인천광역시 미추홀구 인주대로 127, (용현동,
168,경남,경상남도 밀양시,기초,푸드뱅크,밀양시푸드뱅크,055-350-1012,경상남도 밀양시 중앙로 218,  (삼문동) 밀양시종합사회복지관 지하1층,
169,충남,충청남도 보령시,기초,푸드뱅크,보령시기초푸드뱅크,041-936-8501,충청남도 보령시 주공로 50, (명천동  명천주공2차아파트),
170,전남,전라남도 보성군,기초,푸드뱅크,보성기초푸드뱅크,061-852-9845,전라남도 보성군 보성읍 동인길 18-6,,
171,충북,충청북도 보은군,기초,푸드뱅크,보은군푸드뱅크,043-544-1377,충청북도 보은군 보은읍 보청대로 1907,,
172,경기,경기도 부천시 원미구,기초,푸드뱅크,복사골푸드뱅크,032-661-0112,경기도 부천시 원미로 235, (춘의동),
173,경기,경기도 화성시,기초,푸드뱅크,"봉담아리푸드뱅크	",,경기도 화성시 봉담읍 동화길 174,101호,연락처 없음
174,부산,부산광역시 금정구,기초,푸드마켓,부산금정구푸드마켓,051-911-1377,부산 금정구 남산동,42-5,
175,부산,부산광역시 사상구,기초,푸드마켓,부산사상구푸드마켓,051-325-1399,부산광역시 사상구 동주로 6-9 ,(주례동),
176,부산,부산광역시 수영구,기초,푸드마켓,부산수영구함께하는푸드마켓,051-756-1925,부산광역시 수영구 연수로249번길 12-18, (망미동),
177,부산,부산광역시 영도구,기초,푸드마켓,부산영도구푸드마켓,051-405-1377,부산 영도구 동삼동,215-57 1층 영도구푸드마켓,
178,부산,부산광역시 부산진구,기초,푸드마켓,부산진구푸드마켓,051-853-1377,부산광역시 부산진구 중앙대로 882, (양정동),
179,부산,부산광역시 부산진구,기초,푸드뱅크,부산진구푸드뱅크,051-896-2320,부산광역시 부산진구 당감서로 16, (당감동),
180,전북,전라북도 부안군,기초,푸드마켓,부안행복나눔푸드마켓·뱅크,063-581-5723,전라북도 부안군 부안읍 번영로 97-1,부안행복나눔푸드마켓뱅크,
181,충남,충청남도 부여군,기초,푸드뱅크,부여나눔푸드뱅크,041-832-0811,충청남도 부여군 규암면 합송서로 128-3,,
182,경기,경기도 부천시 원미구,기초,푸드뱅크,부천기초푸드뱅크,032-326-1477,경기도 부천시 신흥로275번길 19, (중동),
183,경기,경기도 부천시 원미구,기초,푸드마켓,부천시다사랑푸드마켓,032-324-1688,경기도 부천시 신흥로275번길 19, (중동),
184,경기,경기도 부천시 소사구,기초,푸드뱅크,부천행복한동행푸드뱅크,032-612-0124,경기도 부천시 하우로 319, (심곡본동) 1층,
185,인천,인천광역시 부평구,기초,푸드마켓,부평구푸드마켓1호점,032-426-1377,인천 부평구 부개동,120-78,
186,인천,인천광역시 부평구,기초,푸드마켓,부평구푸드마켓2호점,032-511-1377,인천광역시 부평구 경원대로1367번길 18, (부평동),
187,인천,인천광역시 부평구,기초,푸드뱅크,부평구푸드뱅크1호점,032-519-1377,인천광역시 부평구 후정동로 6,(삼산동) 2층,
188,인천,인천광역시 부평구,기초,푸드뱅크,부평구푸드뱅크2호점,032-511-1377,인천광역시 부평구 경원대로1367번길 18, (부평동),
