age,bmi,bmi_status,can_cook,allergies,Ingredients1,Ingredients2,Ingredients3,label,gemma_prompt,recommendation_reason
13,23.3,Normal,1,,,,,Snapper With Succotash,"[INTERNAL REASONING LOGIC]

This child is 13 years old and has a BMI of 23.3, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Snapper With Succotash.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, young chef! Im so happy to hear that youre 13 years old and your body is in a great state! Your BMI of 23.3 is right in the green zone, meaning your body is healthy and happy. That means you can enjoy some delicious foods that will help you grow and thrive! Now, lets talk about Snapper With Succotash. Its a super simple and magical dish thats perfect for you. Its made with just a few ingredients, including snap peas and sweet potatoes, cooked together in a special way. Its also dairy-free, so its perfect for even the pickiest eaters. And,."
12,18.4,Normal,0,Mackerel,,,,Blackened Yellowtail Snapper with Mango Salsa,"[INTERNAL REASONING LOGIC]

This child is 12 years old and has a BMI of 18.4, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Mackerel, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Blackened Yellowtail Snapper with Mango Salsa.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 12 years old, and youre in for a treat. Blackened Yellowtail Snapper with Mango Salsa sounds amazing, and its perfect for a special meal! Lets break it down: - **Blackened Yellowtail Snapper:** Its like a delicious seafood dish thats a bit darker than usual. Its cooked in a special way that makes it extra special. - **Mango Salsa:** Its a tangy and refreshing condiment that complements the yellowtail perfectly. Its like a little burst of sunshine on your plate! So, grab a fork and dig in! Youre about to experience a taste adventure that."
16,25.7,Normal,0,Squid,,,,Herbed Striped Bass,"[INTERNAL REASONING LOGIC]

This child is 16 years old and has a BMI of 25.7, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Squid, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Herbed Striped Bass.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! 👋 I know youre only 16, but your body is like a tiny garden full of amazing plants! Just like the Herbed Striped Bass I recommend, your body needs healthy food to thrive. Imagine the garden growing all the delicious fruits and veggies you eat. It needs special care and attention to stay healthy and happy. Herbed Striped Bass is like a magical gardener that brings the same care and attention to your body! So, grab a fork and lets have some fun together! Explore the vibrant colors and yummy texture of this food. Its like a delicious adventure for your taste buds! Remember, you can do it! Just like a mighty warrior, you can conquer this meal."
10,26.7,Normal,1,"Mackerel, Shrimp, Buckwheat",,,,Sauted Bass with Shiitake Mushroom Sauce,"[INTERNAL REASONING LOGIC]

This child is 10 years old and has a BMI of 26.7, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Mackerel, Shrimp, Buckwheat, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Sauted Bass with Shiitake Mushroom Sauce.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! 👋 Lets get ready to eat some delicious food! Im so happy for you that youre only 10 years old, which means you have the perfect balance of energy and wisdom to handle some new and exciting foods. Your body is like a tiny garden, and you need food that helps it happy and healthy. You can cook, so the food has to be simple enough for you to prepare all by yourself. Speaking of your special request, Sauted Bass with Shiitake Mushroom Sauce sounds absolutely mouthwatering! Its like a creamy and savory feast for your taste buds. So, grab your apron and lets get cooking! Youll be amazed how much fun you."
14,26.4,Normal,0,Walnut,,,,Chili-Roasted Cod,"[INTERNAL REASONING LOGIC]

This child is 14 years old and has a BMI of 26.4, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Walnut, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Chili-Roasted Cod.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, little one! Your body is like a garden full of amazing plants and fruits, and youre one of the lucky ones who gets to enjoy a special meal thats specially made for you. Chili-Roasted Cod is like a treasure chest full of goodness waiting to be discovered! This food is so yummy that even grown-ups cant resist! Its like a warm hug from the sea, and its perfect for a special day. So, grab a fork and take a bite, and let your taste buds explore all the amazing flavors. Remember, you can always ask for help if you need it, and youll be able to savor all the deliciousness this food has to."
6,21.5,Normal,1,"Peach, Peanut",,,,Catalan Roasted Sea Bass,"[INTERNAL REASONING LOGIC]

This child is 6 years old and has a BMI of 21.5, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Peach, Peanut, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Catalan Roasted Sea Bass.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, youre 6, ready to embark on a culinary adventure! Your body is like a garden full of amazing plants, and this food is the perfect fertilizer to help them thrive. Just like the sea bass in the picture, its a delicious fish full of flavor and a bit of a surprise! Its perfectly safe for you to cook, so you can make your own delicious dish and share the magic with your friends! So grab your apron and get ready to explore the world of flavors with Catalan Roasted Sea Bass. Its a taste adventure waiting to happen, so lets give it a try and make some happy memories!."
14,25.0,Normal,1,Peanut,Lemon,,,Lemon-Dill Tilapia,"[INTERNAL REASONING LOGIC]

This child is 14 years old and has a BMI of 25.0, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Peanut, which was excluded from the recommendation.

They have ingredients like Lemon available at home.

Based on these factors, the machine learning model recommended: Lemon-Dill Tilapia.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, young chef! Im so happy to hear that youre 14 years old and your BMI is in a healthy range. That means your body is doing great, and eating healthy is even more important for you! Since you can cook, I know its important to choose food thats easy to prepare on your own. Thats why I think youll love this dish: Lemon-Dill Tilapia. This fish is so delicious, and the lemon and dill create a super yummy flavor that will make you dance in your mouth! Plus, its a great source of protein, which helps you grow and learn. Dont be afraid to try new things,."
10,14.5,Normal,1,"Wheat, Buckwheat",,,,Sake Sea Bass in Parchment,"[INTERNAL REASONING LOGIC]

This child is 10 years old and has a BMI of 14.5, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Wheat, Buckwheat, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Sake Sea Bass in Parchment.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, youre 10 years old, and youve got a special dish waiting for you! Its a kind of fish thats been caught just right, and its perfectly cooked for you. Imagine the oceans magic swirling around this fish, like a beautiful rainbow melting into the waves. Its so delicious, and its a perfect treat for your taste buds. Sake Sea Bass is like a treasure chest of flavor, and its the perfect meal to make your tummy happy and your heart feel warm. So, grab a fork and lets embark on a culinary adventure! Are you ready to give it a try?."
12,17.2,Normal,0,"Soybean, Pork, Crab",,,,Origami Sea Bass,"[INTERNAL REASONING LOGIC]

This child is 12 years old and has a BMI of 17.2, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Soybean, Pork, Crab, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Origami Sea Bass.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 12 years old, and your body is so amazing. Youre in a really good place with a healthy weight, so you can enjoy all the yummy food that makes you happy. I know you cant cook, so I picked a special dish thats super simple to make. Its called Origami Sea Bass, and its so delicious and fun to eat! Its made with simple ingredients that you can find in your kitchen, and its perfect for a special dinner or a fun snack. So, grab a fork and a plate, and lets give Origami Sea Bass a try! Youre going to love the light and flaky."
16,21.1,Normal,1,"Shrimp, Wheat, Crab",,,,Soy-marinated Chinese-style Tilapia With Fresh Ginger And Scall,"[INTERNAL REASONING LOGIC]

This child is 16 years old and has a BMI of 21.1, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Shrimp, Wheat, Crab, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Soy-marinated Chinese-style Tilapia With Fresh Ginger And Scall.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 16, and your body is in great shape. Your BMI is perfectly normal, which means youre at a healthy weight. That means you can enjoy all the deliciousness life has to offer, including this amazing Soy-marinated Chinese-style Tilapia With Fresh Ginger and Scall. This dish is like a culinary adventure for your taste buds. The soy sauce and ginger will make your mouth water, and the fresh scalapia will be so tender and flaky. Its a dish thats perfect for a special occasion or a simple weekday meal. So, grab a fork and dive in! Enjoy every delicious bite and let your taste buds dance with this culinary treat. Remember,."
12,22.1,Normal,1,"Milk, Shellfish, Pork",,,,Hearty Halibut Chowder,"[INTERNAL REASONING LOGIC]

This child is 12 years old and has a BMI of 22.1, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Milk, Shellfish, Pork, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Hearty Halibut Chowder.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, youre 12 years old, and youve got a super cool body! Youre in the Healthy Weight club, just like your mama and the other kids. This Hearty Halibut Chowder is like a hug in a bowl! Its creamy and delicious, with a special surprise inside. Its perfect for lunch or dinner, and its so easy to make! So grab a spoon, get ready to explore, and let your taste buds dance with this delicious food! Youll be amazed at how awesome it is, just like the magic of a glowing rainbow!."
7,15.8,Normal,0,Beef,Tomato,,,"Tuna, Tomato And Olive Sandwich (pan Bagnat)","[INTERNAL REASONING LOGIC]

This child is 7 years old and has a BMI of 15.8, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Beef, which was excluded from the recommendation.

They have ingredients like Tomato available at home.

Based on these factors, the machine learning model recommended: Tuna, Tomato And Olive Sandwich (pan Bagnat).

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! 👋 Youre only 7 years old, and your body is like a tiny explorer! Today, were going on a food adventure! You look good, with a nice weight and height. Your body is like a happy garden filled with lots of yummy things just waiting to be discovered! But you cant cook on your own, so well help you make a delicious sandwich. Lets put together a yummy pan bagnat, just like the ones we eat at the restaurant! The sandwich will be made with these yummy ingredients: * Tuna (its the best food ever, even more magical than yummy tomato!) * Tomato * Olive oil Its."
11,20.7,Normal,0,Chicken,,,,Pan Bagnat,"[INTERNAL REASONING LOGIC]

This child is 11 years old and has a BMI of 20.7, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Chicken, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Pan Bagnat.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Lets have some fun and try a new food! Remember, youre just 11 years old, and your body is like a super strong fortress that needs some food to keep it healthy and happy. Pan Bagnat is a delicious sandwich made with bread, cheese, and lots of yummy ingredients inside. Its the perfect food to help you feel energized and ready to run around and play! So, grab one, take a bite, and let your taste buds explore all the amazing flavors. Just remember to be gentle with your teeth, and youll be alright! Pan Bagnat is a magical food that will make you happy and healthy! Lets give it a try!."
16,15.9,Normal,0,,Garlic,,,Baked Seabass with Homemade Garlic Butter and Herb Bread Crumb Topping,"[INTERNAL REASONING LOGIC]

This child is 16 years old and has a BMI of 15.9, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like Garlic available at home.

Based on these factors, the machine learning model recommended: Baked Seabass with Homemade Garlic Butter and Herb Bread Crumb Topping.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, little one! Youre 16, and your body is doing fantastic, just the way it should be. Your BMI of 15.9 is right on track, which means youre in a healthy weight range where you can thrive. Since you dont have the skills to cook, the food I have in mind is perfect for you. Its simple, delicious, and something an adult can easily whip up. Imagine a delicious baked seabass, cooked to perfection with a special garlic butter and a crunchy topping thats like a little adventure for your taste buds. Its a dish that will make you happy and excited to try! So, go ahead, take."
14,24.7,Normal,1,,Tomato,,,Oven-Roasted Sea Bass with Couscous and Warm Tomato Vinaigrette,"[INTERNAL REASONING LOGIC]

This child is 14 years old and has a BMI of 24.7, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like Tomato available at home.

Based on these factors, the machine learning model recommended: Oven-Roasted Sea Bass with Couscous and Warm Tomato Vinaigrette.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Are you ready to be a culinary adventurer? Today, youll be cooking up a delicious dish thats perfect for your tummy and your taste buds! Since youre in the normal weight range, your body is already in a great shape. This meal will help you maintain that health and keep you feeling happy and energized. Now, lets break down the ingredients and the process into simple steps that you can follow on your own. You can even use the ingredients you have at home, like Tomato! First, youll be cooking a fish thats as light as a feather. It could be sea bass, but any white fish will do. Then, youll cook it in."
6,25.3,Normal,1,,,,,Sake-Steamed Halibut with Ginger and Cabbage,"[INTERNAL REASONING LOGIC]

This child is 6 years old and has a BMI of 25.3, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Sake-Steamed Halibut with Ginger and Cabbage.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 6 years old, and you have a super healthy body! Your BMI is just 25.3, which means youre in the perfect weight range for your age and height. That means you have a healthy weight, just the way it should be! But listen, even though you have a super healthy body, you can still have some yummy food, like the one youre about to try! Its called Sake-Steamed Halibut with Ginger and Cabbage. Its so delicious and simple, and its perfect for you to cook by yourself. You can use your magic cooking skills to make this dish in a flash! Just follow the instructions on the package."
16,21.8,Normal,1,"Sulfurous acid, Buckwheat, Peach",,,,Striped Bass en Papillote,"[INTERNAL REASONING LOGIC]

This child is 16 years old and has a BMI of 21.8, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Sulfurous acid, Buckwheat, Peach, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Striped Bass en Papillote.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Are you ready to embark on a culinary adventure? Lets explore the world of Striped Bass en Papillote together! This dish is like a masterpiece, packed with the freshest and most delicious ingredients. Its simple to prepare, just like you, and its perfect for a meal thats both satisfying and exciting. The Striped Bass is like a tiny pearl, and the Papillote is like a colorful tapestry. Together, they create a symphony of flavors that will tantalize your taste buds. So, lets gather the necessary ingredients and get ready to create something magical! Remember, you can do this! Just follow the recipe and let your culinary creativity flow. Are you ready."
15,14.6,Normal,1,,,,,Sake-Steamed Halibut with Ginger and Cabbage,"[INTERNAL REASONING LOGIC]

This child is 15 years old and has a BMI of 14.6, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Sake-Steamed Halibut with Ginger and Cabbage.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, my little foodie friend! I know youre only 15, but your body is like a super strong castle, and youre building a mighty feast inside! You have the perfect recipe today - a delicious mix of halibut, ginger, and cabbage, steaming away in a magical broth. Lets take a bite and explore this incredible creation together! The halibut, like a pearly fish, will be swimming in a flavorful broth with tender ginger and crunchy cabbage. Its a symphony of textures and tastes, ready to fill you with energy and make you dance with delight! So, grab a fork and take a sip of the magic broth. Feel the warmth spread through your body and let."
