age,gender,bmi_category,can_cook,meals_per_day,hunger_cycle_min,allergies,food_calories,food_protein,food_fat,food_carbs,food_difficulty,label,Ingredients1,Ingredients2,Ingredients3
15,0,0,0,0,158,"Mackerel, Tomato",424.34,67.62,13.54,6.77,0,Basil-Steamed Halibut with Lemon CrÃÂÃÂ¨me Sauce,Lemon,None,None
6,0,3,0,0,24,,886.87,82.83,46.24,36.33,0,Whole Grilled Fiesta Fish,Fish,None,None
9,0,3,0,2,44,Shrimp,611.24,15.67,49.2,36.99,0,"Roasted Brussels Sprouts With Capers, Walnuts And Anchovies",Walnut,None,None
14,0,3,0,2,160,,692.63,23.9,46.25,54.8,0,Kale Caesar,None,None,None
10,1,1,1,3,63,"Milk, Pine nut, Peach",111.36,22.08,1.65,1.0,0,Herbed Striped Bass,None,None,None
13,0,1,1,0,100,"Beef, Pine nut",213.57,22.37,8.43,3.26,0,Sole with Tarragon-Butter Sauce,None,None,None
11,0,0,1,1,137,,491.29,6.89,35.62,40.49,0,Oriental Style Peppers,None,None,None
6,1,3,0,1,33,Beef,505.6,55.38,11.62,43.4,0,Labneh With Chilli And Anchovy,Anchovy,None,None
16,0,0,1,3,109,,581.03,29.36,43.77,17.94,0,Pecan-crusted Trout with Peach-Habanero Chile Sauce,Peach,None,None
12,0,0,0,1,114,"Egg, Peach, Peanut",492.9,35.81,26.79,28.59,0,Striped Bass With Salsa Verde And Mediterranean Roasted Vegetables,None,None,None
8,0,1,0,3,89,Tomato,302.72,35.0,7.6,22.12,0,Baked Seabass with Homemade Garlic Butter and Herb Bread Crumb Topping,Garlic,None,None
8,0,2,1,1,174,Pork,325.71,11.19,19.71,27.14,0,Pecan-crusted Halibut with Dijon Cream Sauce,None,None,None
13,0,3,0,2,90,,734.19,76.15,30.97,64.05,0,Pan Sauteed Tilapia With Lemon And Jalapeno,Lemon,None,None
11,0,0,0,3,7,"Shrimp, Shellfish, Beef",585.87,27.52,43.87,22.1,0,Classic Sole MeuniÃÂÃÂ¨re,None,None,None
10,1,0,0,0,97,"Soybean, Wheat, Pine nut",415.3,38.13,24.83,5.33,0,Poached Sole With Blood Orange Beurre Blanc,None,None,None
6,0,3,1,2,56,,670.6,73.25,22.41,36.46,0,"Porgy, Roman Style: Pagro alla Romana",None,None,None
16,0,0,0,1,31,"Walnut, Egg, Milk",528.1,35.93,24.78,42.42,0,Leek And Smoked Haddock Chowder,None,None,None
6,0,2,0,3,107,Shrimp,446.02,38.46,26.3,9.47,0,Roasted Salmon with Oyster Mushrooms in Red Wine,None,None,None
11,1,0,0,1,128,"Squid, Shellfish, Sulfurous acid",548.68,34.38,31.93,7.32,0,Salmon with Red Wine-Balsamic Sauce,None,None,None
16,1,0,0,1,32,"Peach, Peanut",556.71,18.93,24.36,67.1,0,"Orecchiette with Cauliflower, Anchovies and Pistachios",None,None,None
8,0,3,0,2,76,"Shellfish, Shrimp, Squid",783.11,77.13,23.46,67.35,0,"Cod, Potato & Spring Onion Stew Recipe",Potato,None,None
12,1,0,0,1,180,"Peach, Mackerel",589.03,40.09,27.67,50.21,0,Roasted Black Bass with Apple Cider-Kale Sauce,Apple,None,None
8,0,3,0,3,68,"Shrimp, Soybean, Buckwheat",524.66,38.58,18.9,48.89,0,Corny Mango Salmon,None,None,None
15,0,0,0,2,19,,429.9,16.83,37.1,12.77,0,Tuscan Kale Salad,None,None,None
16,0,0,0,1,52,"Egg, Buckwheat",468.0,47.21,27.75,8.45,0,Marinated Fish with Salmoriglio Sauce,Fish,None,None
14,1,0,1,2,82,"Egg, Shrimp, Squid",421.61,41.48,21.56,14.18,0,Parmesan-crusted Veal With Salsa Verde,None,None,None
15,1,0,0,2,6,,456.13,46.72,28.24,3.11,0,Grilled Snapper with Orange-Almond Sauce,None,None,None
10,0,2,1,0,110,Shellfish,392.25,29.88,22.75,17.36,0,Grilled Sea Bass with Miso-Mustard Sauce,None,None,None
9,1,1,1,0,43,,111.36,22.08,1.65,1.0,0,Herbed Striped Bass,None,None,None
13,0,0,1,1,164,"Mackerel, Wheat, Chicken",476.89,8.17,34.83,36.21,0,"Pasta with Anchovies, Currants, Fennel, and Pine Nuts",Pine nut,None,None
10,1,3,0,1,46,Soybean,663.86,44.99,23.44,54.05,0,"Spiced Salmon With Wine Braised Shallots, Edamame & Sunchoke Puree",None,None,None
11,0,0,1,0,102,,438.31,36.76,20.03,27.54,0,"Pfb: Ancho-seared Swordfish With Ginger-sweet Potato Mash, Sear",Potato,Fish,None
9,0,2,0,0,53,"Peach, Shrimp, Walnut",322.16,13.61,18.39,26.67,0,Chickpea Panelle with Goat Cheese and Salsa Rustica,None,None,None
10,1,0,0,3,167,,427.13,69.06,15.25,4.56,0,Pan- Seared Tilapia,None,None,None
14,0,0,0,3,77,,560.27,24.65,19.16,71.74,0,Pasta With Tonnato And Tomato,Tomato,None,None
14,1,0,0,1,91,"Chicken, Peach",485.93,78.02,14.0,7.64,0,Adriatic Fish Broth,Fish,None,None
15,0,0,0,2,143,,454.09,34.07,34.01,1.05,0,Bacon-wrapped Bluefish,Fish,None,None
14,1,0,1,1,111,Squid,421.61,41.48,21.56,14.18,0,Parmesan-crusted Veal With Salsa Verde,None,None,None
11,1,0,0,1,77,"Wheat, Pine nut",406.3,29.96,5.22,44.69,0,Sake-Steamed Sea Bass with Ginger and Green Onions,None,None,None
15,0,1,1,3,169,,193.0,20.7,8.95,6.94,0,Shrimp and Crab Stuffed Flounder,Crab,Shrimp,None
7,0,3,0,2,93,"Pine nut, Peanut",608.9,57.88,22.87,41.0,0,Grilled Tuna Steaks With Onion Dill Butter,None,None,None
14,1,1,1,1,171,Wheat,252.58,34.16,7.64,12.29,0,Sauted Bass with Shiitake Mushroom Sauce,None,None,None
13,0,0,0,1,159,"Pine nut, Milk, Buckwheat",432.68,10.82,21.32,49.12,0,Grilled Fish With Seville Orange & Rosemary Butter,Fish,None,None
14,0,0,0,0,89,Tomato,505.6,55.38,11.62,43.4,0,Labneh With Chilli And Anchovy,Anchovy,None,None
7,1,0,1,1,21,"Egg, Peach",480.11,7.48,30.52,44.38,0,Piquillo-Pepper Num Pangs,None,None,None
15,0,0,1,2,52,"Pork, Shellfish",447.0,34.87,31.55,4.86,0,Seared Salmon With Mustard-caper Butter,None,None,None
8,0,1,1,3,33,Soybean,230.88,31.76,7.45,7.43,0,Roasted Cod With Lemon-parsley Crumbs,Lemon,None,None
6,0,0,1,0,175,Peach,590.71,12.26,44.01,38.12,0,Lime Caesar Salad,None,None,None
9,0,2,0,2,28,"Wheat, Peach",307.93,24.53,15.52,17.27,0,Cheesy Catfish Chowder,Fish,None,None
9,1,0,0,1,52,,587.77,32.5,45.71,16.29,0,Nut-crusted Salmon With Garlicky Greens And Walnuts,Garlic,Walnut,None
8,1,1,0,3,120,,196.57,31.74,6.56,1.05,0,Halibut MeuniÃÂÃÂ¨re,None,None,None
16,0,0,1,2,123,Pork,591.13,45.93,43.83,0.0,0,Cod With Chorizo,None,None,None
10,0,0,1,0,153,"Walnut, Pine nut, Sulfurous acid",462.86,37.85,17.3,47.77,0,Red Snapper Puttanesca,None,None,None
7,1,3,1,3,177,Walnut,519.14,53.92,19.17,38.73,0,Cauliflower Mushroom Leek Soup With Butter Fish,Fish,None,None
14,0,0,1,3,166,Beef,446.01,15.17,27.3,34.43,0,Ceasar Salad,None,None,None
11,0,0,1,2,31,Peach,471.92,4.19,19.87,68.32,0,Vermicelli with Sauce alla Sofia,None,None,None
13,0,0,0,1,157,,471.92,4.19,19.87,68.32,0,Vermicelli with Sauce alla Sofia,None,None,None
14,1,1,0,0,135,Peach,230.76,33.74,4.54,12.86,0,Potato-Crusted Snapper,Potato,None,None
15,0,2,1,0,10,,323.91,32.63,17.92,8.29,0,Wild Striped Bass with Scallions and Herb Salad,None,None,None
7,0,3,0,1,88,Shellfish,566.14,26.33,20.71,60.14,0,Salad Capricciosa,None,None,None
15,1,1,0,2,7,,201.3,28.64,5.96,8.37,0,Miso-Glazed Sea Bass with Asparagus,None,None,None
6,0,0,0,3,131,"Squid, Tomato, Beef",435.13,12.81,15.85,60.52,0,"Spaghetti With Anchovy, Chilli & Breadcrumbs",Anchovy,None,None
7,1,3,0,0,128,"Crab, Sulfurous acid",652.29,71.78,24.63,53.55,0,Fish Baked In Salt,Fish,None,None
16,1,1,0,2,145,,228.66,17.98,1.16,36.16,0,Corvina Traditional,None,None,None
15,0,3,1,0,139,,680.06,56.03,33.77,41.17,0,Eggplant Stuffed With Savory Beef,Egg,Beef,None
13,1,3,0,2,51,Peach,501.52,29.76,12.47,41.32,0,Quick-Cured Sake Salmon with Quinoa,None,None,None
15,1,0,0,2,98,,454.87,24.48,20.12,43.85,0,Mozzarella Skewers with Anchovy Sauce (Spiedini di Mozzarella),Anchovy,None,None
7,0,3,1,3,130,Peach,516.46,14.8,30.87,50.68,0,Roasted Cauliflower With Anchovy Bread Crumbs,Anchovy,None,None
13,1,3,0,2,176,"Milk, Shrimp, Tomato",578.48,15.14,22.81,56.53,0,Garlic Greens on Toast,Garlic,None,None
16,0,0,0,1,97,Mackerel,497.51,39.39,28.42,17.04,0,Salmon with Mushroom Sauce,None,None,None
8,0,0,0,1,71,"Beef, Egg",492.16,36.84,22.37,14.16,0,Pan-seared Crispy Salmon,None,None,None
9,1,1,0,3,108,"Tomato, Mackerel, Sulfurous acid",193.0,20.7,8.95,6.94,0,Shrimp and Crab Stuffed Flounder,Crab,Shrimp,None
7,1,3,0,3,39,,622.56,34.34,39.6,31.88,0,Minted Lamb Chops With White Beans,None,None,None
15,1,1,1,2,71,"Mackerel, Walnut",236.63,35.57,8.14,5.19,0,Lemon Red Snapper with Herbed Butter,Lemon,None,None
12,1,2,0,1,58,,349.18,26.05,13.15,42.6,0,Sole With Lemon-butter Sauce,Lemon,None,None
10,1,0,0,3,66,,581.72,31.59,33.73,35.61,0,Stuffed Fish in Puff Pastry,Fish,None,None
10,0,1,1,2,151,,119.36,15.68,5.67,0.81,0,Grilled Fish,Fish,None,None
12,0,0,0,2,49,Peach,465.63,31.35,32.3,11.37,0,Pan-roasted Sea Bass with Citrus-Heirloom Tomato Vinaigrette,Tomato,None,None
11,1,1,1,1,84,,201.44,22.15,8.73,6.61,0,Poached Sea Bass with Lemon Butter,Lemon,None,None
11,1,0,1,0,150,"Mackerel, Sulfurous acid, Tomato",407.33,16.89,24.11,32.57,0,"Pizza With Anchovies, Red Onion, And Oregano",None,None,None
15,1,1,1,0,59,"Milk, Pine nut",352.05,34.75,9.22,31.44,0,Fish And Chips,Fish,None,None
11,0,3,0,3,165,,727.38,16.05,50.2,65.43,0,Caponata Di Melanzane,None,None,None
14,1,2,1,1,84,,397.95,60.42,15.52,0.26,0,Roasted Whole Sea Bass with Bay Leaves,None,None,None
15,0,2,0,2,54,,434.43,41.07,11.43,40.35,0,Grilled Grouper with Browned Butter-Orange Couscous,None,None,None
13,0,0,0,2,69,"Soybean, Buckwheat",582.15,41.21,28.27,39.58,0,Halibut With Barbecue Tomato Sauce And Honey-mustard Polenta,Tomato,None,None
15,1,2,0,2,170,"Peach, Shellfish, Sulfurous acid",419.95,24.4,21.28,25.84,0,Fried Eel,None,None,None
10,0,3,0,3,44,"Mackerel, Peanut",1069.3,60.01,62.7,65.71,0,Fabulous fish stew,Fish,None,None
6,1,3,0,2,15,Beef,682.96,20.13,49.68,42.51,0,Chopped Greek Salad,None,None,None
14,0,0,1,0,155,Mackerel,522.48,57.45,23.68,16.07,0,Poached Brisket of Beef with Salsa Verde,Beef,None,None
6,0,3,1,1,58,,626.77,53.3,29.49,34.1,0,Lemon Herbed Salmon,Lemon,None,None
9,0,0,0,0,120,,539.36,63.88,27.28,8.08,0,Cod With Parma Ham & Asparagus,None,None,None
7,0,0,1,3,170,Shellfish,410.32,45.63,23.17,2.57,0,Sauted Chicken with Tonnato Sauce,Chicken,None,None
10,0,3,0,0,172,,652.29,71.78,24.63,53.55,0,Fish Baked In Salt,Fish,None,None
13,1,0,1,0,76,,586.67,42.63,42.34,8.5,0,Sea Salt-Crusted Pink Snapper with Ice Wine Nage,None,None,None
6,0,3,1,0,59,"Squid, Shellfish",660.98,72.43,15.53,55.09,0,Grilled Mackerel With Spicy Tomato Jam,Mackerel,Tomato,None
12,0,1,0,1,45,,259.64,32.33,7.82,12.21,0,"Sea Bass with Fennel, Tomato and Orange",Tomato,None,None
9,1,3,1,0,154,Crab,604.38,39.54,31.49,50.56,0,Grilled Halibut with BBQ Butter,None,None,None
11,0,3,0,3,51,"Peanut, Egg, Mackerel",625.51,28.69,26.08,37.52,0,Fish Stew,Fish,None,None
10,0,3,1,3,121,,720.03,18.12,44.66,56.76,0,Sundried Tomato Sauce,Tomato,None,None
8,0,3,0,1,43,Crab,718.38,45.43,34.17,55.53,0,Sicilian Stuffed Swordfish with Cherry Tomato Sauce,Tomato,Fish,None
15,0,2,0,2,143,Walnut,441.14,14.82,21.92,47.23,0,Fusilli with Feta & Lemon-Caper Pesto,Lemon,None,None
12,0,3,1,0,6,,755.72,37.61,36.99,66.69,0,Brian's Easy Stuffed Flounder,None,None,None
11,1,2,1,0,152,"Beef, Pine nut, Pork",399.68,33.72,12.06,38.74,0,Fish Chowder,Fish,None,None
15,1,0,1,2,137,,405.55,36.16,27.13,3.67,0,Salmon Fillets With Orange Basil Butter,None,None,None
10,0,1,1,0,165,"Mackerel, Pine nut",228.66,17.98,1.16,36.16,0,Corvina Traditional,None,None,None
6,1,3,1,0,168,"Milk, Pork",683.1,43.52,36.55,44.04,0,Sea Bass Fillets with Parsley Sauce,None,None,None
6,0,3,1,2,95,Walnut,721.56,45.23,32.23,44.2,0,Seared Wild Salmon With New Potatoes And Dijon Broth,Potato,None,None
14,0,0,1,1,116,Buckwheat,437.18,40.2,24.1,15.02,0,Pecan-Crusted Trout,None,None,None
6,1,0,1,0,121,,586.1,53.78,25.03,36.7,0,French Tuna Burger With Green Bean Salad,None,None,None
12,1,0,1,3,143,"Shellfish, Pork",532.85,36.66,27.82,10.11,0,Halibut with Mustard-Nut Crust,None,None,None
8,0,0,0,3,163,"Squid, Crab",517.63,59.37,28.65,3.05,0,"Red Mullet With Tomatoes, Olives & Anchovies",Tomato,None,None
14,1,0,0,3,82,Pork,491.29,6.89,35.62,40.49,0,Oriental Style Peppers,None,None,None
16,1,0,1,1,157,Shrimp,531.5,36.8,34.74,20.2,0,Ginger-Miso Striped Bass in Shiitake Mushroom Broth,None,None,None
16,0,0,1,1,104,"Shrimp, Shellfish",581.03,29.36,43.77,17.94,0,Pecan-crusted Trout with Peach-Habanero Chile Sauce,Peach,None,None
15,0,0,1,2,124,"Sulfurous acid, Tomato",524.06,3.07,56.94,1.2,0,Salsa Verde Recipe,None,None,None
8,1,0,0,0,124,"Tomato, Soybean",590.71,12.26,44.01,38.12,0,Lime Caesar Salad,None,None,None
6,1,3,1,3,47,"Walnut, Sulfurous acid, Pine nut",692.63,23.9,46.25,54.8,0,Kale Caesar,None,None,None
15,0,2,0,0,53,Squid,314.7,31.65,20.22,0.48,0,Seared Mahi Mahi with Zesty Basil Butter,None,None,None
15,1,2,1,3,107,Shellfish,312.04,23.73,8.26,35.84,0,Pann Bagnat,None,None,None
9,1,0,1,0,23,"Wheat, Sulfurous acid, Soybean",515.01,38.73,28.75,25.51,0,Cod with Artichokes and Chickpeas,None,None,None
16,1,1,1,0,157,Pine nut,111.36,22.08,1.65,1.0,0,Herbed Striped Bass,None,None,None
11,0,2,0,2,93,"Pine nut, Squid",331.32,24.85,20.17,7.65,0,Poached Catfish with Leeks and Mustard,Fish,None,None
7,0,1,1,2,66,,201.34,34.34,6.75,1.01,0,Baked Garlic Lemon Tilapia,Lemon,Garlic,None
6,1,0,0,2,64,"Shrimp, Beef",493.22,52.64,24.73,12.79,0,Ginger And Scallion Fish Recipe,Fish,None,None
10,0,1,1,3,139,"Tomato, Walnut, Milk",264.75,30.95,4.1,8.52,0,Sake Steamed Bass,None,None,None
15,0,0,0,1,157,,468.0,47.21,27.75,8.45,0,Marinated Fish with Salmoriglio Sauce,Fish,None,None
6,0,3,1,2,142,"Milk, Buckwheat, Shrimp",732.1,44.26,38.81,32.78,0,Braised Monkfish with Wild Mushrooms and Cipollini Onions,Fish,None,None
12,0,3,1,3,108,,721.56,45.23,32.23,44.2,0,Seared Wild Salmon With New Potatoes And Dijon Broth,Potato,None,None
7,0,3,0,0,108,"Shellfish, Shrimp, Soybean",748.38,31.43,47.97,49.23,0,Mozzarella En Carozza,None,None,None
11,1,1,0,3,79,Peanut,158.47,25.57,5.42,0.18,0,Creole Striped Bass,None,None,None
8,0,3,1,2,29,"Peanut, Squid",656.1,41.9,23.29,60.04,0,Tagliolino Allo Scoglio,None,None,None
15,0,2,0,2,52,,401.7,36.07,24.39,8.38,0,Panfried Red Snapper With Chipotle Butter,None,None,None
9,0,3,0,1,121,,648.16,30.22,41.34,38.25,0,Broiled Fish On Toasted Sourdough,Fish,None,None
6,0,0,0,3,27,"Beef, Milk",494.55,21.57,18.38,61.65,0,Seabass Ravioli from Ischia: Ravioli all' Ischitana,None,None,None
13,1,3,1,3,79,"Milk, Walnut, Shrimp",566.14,26.33,20.71,60.14,0,Salad Capricciosa,None,None,None
10,0,1,1,0,28,"Peanut, Milk, Shrimp",259.64,32.33,7.82,12.21,0,"Sea Bass with Fennel, Tomato and Orange",Tomato,None,None
14,1,2,0,3,61,Chicken,397.34,15.22,30.39,18.28,0,"Roasted Radicchio with Anchovy Vinaigrette, Preserved Lemon, and Breadcrumbs",Lemon,Anchovy,None
9,0,3,1,0,144,,527.66,40.84,28.79,34.28,0,"Pan-Roasted Striped Bass with Roasted Artichokes, Mushrooms, and Tomato Marmalade",Tomato,None,None
13,0,3,0,3,57,Shrimp,735.72,38.17,37.54,65.23,0,"Sauteed Calamari With Tomatoes, Basil, Raisins, And Pine Nuts",Pine nut,Tomato,None
15,0,2,1,1,102,"Wheat, Egg, Buckwheat",423.81,45.25,24.21,5.93,0,Roasted Halibut with Walnut Crust,Walnut,None,None
15,0,1,0,2,54,"Sulfurous acid, Squid",201.3,28.64,5.96,8.37,0,Miso-Glazed Sea Bass with Asparagus,None,None,None
16,1,1,1,1,114,"Chicken, Buckwheat, Wheat",165.85,22.07,5.73,5.67,0,Warm Cucumber Soup with Scallop and Sole Mousselines,None,None,None
6,0,0,1,3,123,Pine nut,432.68,10.82,21.32,49.12,0,Grilled Fish With Seville Orange & Rosemary Butter,Fish,None,None
9,1,1,1,1,27,,352.05,34.75,9.22,31.44,0,Fish And Chips,Fish,None,None
7,0,3,0,0,92,"Mackerel, Pine nut",979.48,80.97,37.3,50.2,0,Grilled Fish With Pesto Sauce,Fish,None,None
12,0,3,1,3,98,"Egg, Shellfish",718.38,45.43,34.17,55.53,0,Sicilian Stuffed Swordfish with Cherry Tomato Sauce,Tomato,Fish,None
8,1,0,1,2,101,"Walnut, Soybean",509.14,37.46,16.58,52.11,0,"Crisp Striped Bass With Preserved Lemon, Chickpeas, And Couscous",Lemon,None,None
13,1,1,1,1,94,"Buckwheat, Mackerel, Pine nut",338.07,23.51,3.95,50.6,0,Steamed Sea Bass Recipe (thai-style),None,None,None
9,0,3,1,0,140,"Egg, Shellfish, Wheat",733.07,12.33,49.48,61.64,0,"Onion, Anchovy And Olive Tart",Anchovy,None,None
12,0,3,0,1,54,"Buckwheat, Milk",629.17,40.61,34.83,40.19,0,Roasted Monkfish with Curried Lentils and Browned Butter Cauliflower,Fish,None,None
7,1,0,0,2,105,Peanut,424.34,67.62,13.54,6.77,0,Basil-Steamed Halibut with Lemon CrÃÂÃÂ¨me Sauce,Lemon,None,None
6,0,3,0,1,79,,542.14,15.79,28.72,60.4,0,Crispy Potato Salad With Chimichurri Sauce,Potato,None,None
7,1,2,0,0,122,Shellfish,435.67,38.86,15.24,25.98,0,Chesapeake Bay Seafood Stew,None,None,None
9,0,0,1,1,98,"Soybean, Wheat",545.76,24.59,40.86,21.83,0,"Romaine Lettuce dressed with Anchovy Puree, Crumbled Hard Boiled Egg and Toasted Whole Grain Bread Bites",Anchovy,Egg,None
14,0,0,1,0,178,"Milk, Squid",443.43,30.56,28.27,18.14,0,Sauted Snapper on Wilted Spinach with Mulled Zinfandel Butter,None,None,None
10,0,3,1,0,63,"Sulfurous acid, Mackerel, Chicken",521.52,38.46,15.38,55.91,0,Sea Bass alla Fiorentina,None,None,None
8,1,3,0,1,108,"Chicken, Beef",505.6,55.38,11.62,43.4,0,Labneh With Chilli And Anchovy,Anchovy,None,None
15,0,0,0,3,157,"Crab, Egg, Wheat",509.53,14.12,46.1,11.99,0,Muffuletta,None,None,None
13,1,3,0,3,85,"Chicken, Shrimp",543.73,54.83,22.48,31.2,0,Chili-Cumin Fried Fish,Fish,None,None
15,0,0,0,3,69,"Buckwheat, Crab, Pork",482.61,21.43,22.66,48.9,0,Nioise on a Roll,None,None,None
16,1,2,0,2,129,"Egg, Peach",417.05,36.65,24.17,11.14,0,Grill-steamed Mediterranean Halibut,None,None,None
16,1,0,0,3,117,Shrimp,450.64,36.34,12.73,48.66,0,"Roasted Bass with Potatoes, Onions and Fennel",Potato,None,None
16,0,0,0,2,180,"Tomato, Beef, Squid",576.43,13.93,40.39,40.47,0,Caramelized Onion And Fresh Anchovy Tart,Anchovy,None,None
16,1,0,0,0,143,"Shrimp, Sulfurous acid, Buckwheat",581.03,29.36,43.77,17.94,0,Pecan-crusted Trout with Peach-Habanero Chile Sauce,Peach,None,None
6,0,2,0,3,12,"Walnut, Wheat",360.09,34.25,16.45,17.02,0,Baked Haddock,None,None,None
10,0,1,0,1,62,"Crab, Beef, Squid",180.15,35.08,2.34,3.22,0,Basic Ceviche,None,None,None
13,1,3,1,2,165,"Chicken, Peanut, Shellfish",673.45,51.32,32.2,46.78,0,Grilled Caesar Salad,None,None,None
16,0,2,0,2,107,,446.44,32.74,10.99,29.64,0,"Sea Bass with Saffron, Sherry and Pine Nuts",Pine nut,None,None
16,1,0,0,3,169,Wheat,462.85,22.54,18.86,49.29,0,Fried Stuffed Zucchini Flowers (fiori Di Zucca Fritti),None,None,None
15,0,0,0,3,120,"Crab, Buckwheat, Pork",424.34,67.62,13.54,6.77,0,Basil-Steamed Halibut with Lemon CrÃÂÃÂ¨me Sauce,Lemon,None,None
13,1,1,0,3,168,"Beef, Wheat, Peach",256.2,32.04,7.78,14.0,0,Sauted Striped Bass with Summer Vegetables,None,None,None
14,1,1,1,2,27,"Tomato, Beef",231.34,35.65,8.51,3.65,0,Soy-marinated Chinese-style Tilapia With Fresh Ginger And Scall,None,None,None
11,1,0,0,0,21,,543.72,37.47,20.55,48.7,0,"Pan-Seared Sea Bass with Olives, Tomatoes and Oregano Brown Rice",Rice,Tomato,None
10,1,1,0,0,110,,278.29,34.12,9.54,13.2,0,Glazed Grilled Tuna with Sweet Bell Pepper Ragout,None,None,None
6,1,1,1,1,119,"Soybean, Pork",302.72,35.0,7.6,22.12,0,Baked Seabass with Homemade Garlic Butter and Herb Bread Crumb Topping,Garlic,None,None
12,1,3,0,1,85,,573.24,39.88,27.1,43.48,0,Macadamia Nut Crusted Mahi Mahi,None,None,None
11,0,1,0,1,116,,336.32,35.55,9.05,29.74,0,Fish Fillets In Parchment With Asparagus And Orange,Fish,None,None
10,0,2,1,3,149,,411.41,13.11,19.18,48.94,0,Pasta Puttanesca,None,None,None
14,0,0,1,0,17,,556.71,18.93,24.36,67.1,0,"Orecchiette with Cauliflower, Anchovies and Pistachios",None,None,None
8,0,3,0,1,81,,555.62,14.08,42.99,34.78,0,Prosciutto-wrapped Salmon With Warm Corn-mushroom Salsa,None,None,None
12,1,1,1,0,36,"Wheat, Walnut, Buckwheat",246.81,29.16,6.54,19.42,0,Sea Bass and Spicy Tomato Sauce Over Braised Fennel,Tomato,None,None
9,1,2,0,3,14,"Sulfurous acid, Wheat",334.53,42.99,12.1,11.86,0,Hearts of Romaine Caesar Salad with Grilled Chicken,Chicken,None,None
15,0,0,1,0,148,,423.67,6.93,31.74,28.7,0,Find the book,None,None,None
8,1,1,0,3,135,"Mackerel, Walnut, Squid",228.66,17.98,1.16,36.16,0,Corvina Traditional,None,None,None
14,1,1,0,0,94,,352.91,32.97,6.58,35.17,0,Manhattan-Style Fish Chowder,Fish,None,None
13,0,3,1,0,41,"Shrimp, Sulfurous acid",718.38,45.43,34.17,55.53,0,Sicilian Stuffed Swordfish with Cherry Tomato Sauce,Tomato,Fish,None
7,0,3,0,2,26,,589.03,40.09,27.67,50.21,0,Roasted Black Bass with Apple Cider-Kale Sauce,Apple,None,None
7,0,1,1,1,80,"Shrimp, Crab",246.81,29.16,6.54,19.42,0,Sea Bass and Spicy Tomato Sauce Over Braised Fennel,Tomato,None,None
12,1,2,1,0,112,,417.92,34.85,22.77,16.4,0,Mustard-Roasted Salmon with Lingonberry Sauce,None,None,None
6,0,2,1,2,25,"Pork, Mackerel",368.09,22.41,19.84,27.84,0,Tuna Tonnato with Eggplant Salad,Egg,None,None
8,1,2,1,3,70,Squid,423.28,34.59,24.22,13.43,0,Salmon With Agrodolce Sauce,None,None,None
12,0,1,1,0,92,,363.59,72.2,3.11,9.13,0,Italian Basa (catfish),Fish,None,None
